experiment,method,trial_id,success,failure_mode
block_toppling,baseline,0,1,success
block_toppling,baseline,1,1,success
block_toppling,baseline,2,1,success
block_toppling,baseline,3,1,success
block_toppling,baseline,4,0,pushed_too_low_insufficient_torque
block_toppling,baseline,5,1,success
block_toppling,baseline,6,1,success
block_toppling,baseline,7,1,success
block_toppling,baseline,8,1,success
block_toppling,baseline,9,0,failed_to_make_contact
block_toppling,physcot,0,1,success
block_toppling,physcot,1,1,success
block_toppling,physcot,2,1,success
block_toppling,physcot,3,1,success
block_toppling,physcot,4,1,success
block_toppling,physcot,5,1,success
block_toppling,physcot,6,1,success
block_toppling,physcot,7,1,success
block_toppling,physcot,8,1,success
block_toppling,physcot,9,1,success
tool_selection,baseline,0,1,success
tool_selection,baseline,1,0,wrong_tool_path_blocked
tool_selection,baseline,2,0,wrong_tool_path_blocked
tool_selection,baseline,3,1,success
tool_selection,baseline,4,1,success
tool_selection,baseline,5,0,wrong_tool_path_blocked
tool_selection,baseline,6,0,wrong_tool_path_blocked
tool_selection,baseline,7,1,success
tool_selection,baseline,8,0,wrong_tool_path_blocked
tool_selection,baseline,9,0,wrong_tool_path_blocked
tool_selection,physcot,0,1,success
tool_selection,physcot,1,1,success
tool_selection,physcot,2,0,wrong_tool_path_blocked
tool_selection,physcot,3,1,success
tool_selection,physcot,4,1,success
tool_selection,physcot,5,1,success
tool_selection,physcot,6,1,success
tool_selection,physcot,7,1,success
tool_selection,physcot,8,1,success
tool_selection,physcot,9,1,success
